ticker,ID_CUSIP,ID_ISIN,ID_SEDOL1,ClosePrice (USD),Next Dividend,Issuer,Security Type,Sector,Index,Index Type,Country Incorp,Country Dom,Primary Exchange Name,Market Cap,VolumeAvg (30D),VolumeAvg (90D),VolumeAvg (6M)
CLDR UN Equity,18914U100,US18914U1007,BYQHPY1,13.76,01/01/1900,CLOUDERA INC,Common Stock,Information Technology,RTY,Other,US,US,,2108190832,827504,653909,2501990
RDFN UW Equity,75737F108,US75737F1084,BF1BDQ3,15.45,01/01/1900,REDFIN CORP,Common Stock,Real Estate,RTY,Other,US,US,,1370483892,296282,386426,1252132
CJ UN Equity,12674R100,US12674R1005,BD8PMN4,18.78,01/01/1900,CJ ENERGY SERVICES INC,Common Stock,Energy,"RTY, SML",Other,US,US,,1283756047,227622,219772,954457
KESKOA FH Equity,,FI0009007900,5698057,56.268534,12/04/2019,KESKO OYJ-A SHS,Common Stock,Consumer Staples,HEX,Other,FI,FI,EUR HELSIN,1785794883,5634,4920,6979
AKCA UW Equity,00972L107,US00972L1070,BF47GP8,22.32,01/01/1900,AKCEA THERAPEUTICS INC,Common Stock,Health Care,RTY,Other,US,US,,1913234063,99038,98446,312732
WOW UN Equity,96758W101,US96758W1018,BYQN8D9,9.74,01/01/1900,WIDEOPENWEST INC,Common Stock,Telecommunication Services,RTY,Other,US,US,,805065164.1,82209,72562,383011
WGX AT Equity,,AU000000WGX6,BYVQ673,0.784345,NULL,WESTGOLD RESOURCES LTD,Common Stock,Materials,AS30,Other,AU,AU,AUD ASX,284803224.9,749872,592877,640438
VERI UQ Equity,92347M100,US92347M1009,BD6R102,6.9,01/01/1900,VERITONE INC,Common Stock,Information Technology,RTY,Other,US,US,,133364987.1,33926,46911,187348
PSDO UW Equity,74102M103,US74102M1036,BDZTVC1,13.4,25/12/2018,PRESIDIO INC,Common Stock,Information Technology,RTY,Other,US,US,,1102730568,91267,79803,202032
LINU GY Equity,,DE000A2E4L75,BF8K6K8,252.300849,04/05/2019,LINDE AG - TENDER,Common Stock,Materials,"HDAX, PXAP",Main,DE,DE,EUR XETRA,0,2913803,1516361,1389091
BKI UN Equity,09215C105,US09215C1053,BDG75V1,48.77,01/01/1900,BLACK KNIGHT INC,Common Stock,Information Technology,RIY,NULL,US,US,,7286220101,190561,137333,727400
HBB UN Equity,40701T104,US40701T1043,BF22688,23.22,30/11/2018,HAMILTON BEACH BRAND-A,Common Stock,Consumer Discretionary,RTY,Other,US,US,,214781424.1,9106,9613,40238
PIX FP Equity,,FR0011950641,BMSJTW7,2.037465,01/01/1900,PIXIUM VISION SA,Common Stock,Health Care,CS90,Other,FR,FR,EUR PARIS,44022219.07,123103,99865,91846
ROKU UW Equity,77543R102,US77543R1023,BZ1LFG7,55.6,01/01/1900,ROKU INC,Common Stock,Consumer Discretionary,RTY,Other,US,US,,3803093988,1708606,1811982,8065638
GDI UN Equity,36555P107,US36555P1075,BZ4DG90,27.06,01/01/1900,GARDNER DENVER HOLDINGS INC,Common Stock,Industrials,RIY,NULL,US,US,,5378519663,386914,366543,1600042
ARD UN Equity,L0223L101,LU1565283667,BYXR9D1,13.18,15/11/2018,ARDAGH GROUP SA,Common Stock,Materials,RIY,NULL,LU,LU,,245650540.2,25108,21741,89244
SNDR UN Equity,80689H102,US80689H1023,BYVN953,21.87,13/12/2018,SCHNEIDER NATIONAL INC-CL B,Common Stock,Industrials,RIY,NULL,US,US,,2055073183,221741,175682,777608
NEXT NO Equity,,NO0010629108,BFNYDT3,5.887552,01/01/1900,NEXT BIOMETRICS GROUP AS,Common Stock,Information Technology,OSEAX,Other,NO,NO,NOK OSLO,114398535.1,32937,46369,34058
ECP FP Equity,,FR0010490920,B1Z7SG4,1.452091,NULL,EUROPACORP,Common Stock,Telecommunication Services,CS90,Other,FR,FR,EUR PARIS,59503081.07,69709,74882,237802
GLV ID Equity,,IE00BD6JX574,BD6JX57,0.948397,01/01/1900,Glenveagh Properties PLC,Common Stock,Consumer Discretionary,ISEQ,NULL,IE,IE,EUR DUBLIN,826370193.3,3594573,3259837,2861003
ARCUS NO Equity,,NO0010776875,BZ008C2,5.221486,12/04/2019,ARCUS ASA,Common Stock,Consumer Staples,OSEAX,Other,NO,NO,,355182485.2,15686,33147,70871
NP3 SS Equity,,SE0006342333,BT6SSF1,6.677372,03/05/2019,NP3 FASTIGHETER AB,Common Stock,Real Estate,SAX,Other,SE,SE,,362841358.3,24611,23141,32002
BY UN Equity,124411109,US1244111092,BD5G2C9,22,01/01/1900,BYLINE BANCORP INC,Common Stock,Financials,RTY,Other,US,US,,798151200,23315,20904,64280
NODK UR Equity,65342T106,US65342T1060,BF2CWX5,15.64,01/01/1900,NI HOLDINGS INC,Common Stock,Financials,RTY,Other,US,US,,349707960.2,6268,4532,14208
GNTY UW Equity,400764106,US4007641065,2503035,29.82,25/12/2018,GUARANTY BANCSHARES INC,Common Stock,Financials,RTY,Other,US,US,,356780555,10611,8515,18873
GPMT UN Equity,38741L107,US38741L1070,BF11FD4,18.61,01/01/2019,GRANITE POINT MORTGAGE TRUST,REIT,Financials,"RTY, SML",Other,US,US,,808720514.7,118311,215821,406220
PQG UN Equity,73943T103,US73943T1034,BZ6CR03,16.05,01/01/1900,PQ GROUP HOLDINGS INC,Common Stock,Materials,RTY,Other,US,US,,2170034424,63945,49736,210818
AHSL SS Equity,,SE0009155005,BD6DG27,5.070424,04/05/2019,AHLSELL AB,Common Stock,Industrials,"OMXS60, SAX, SBX",Main,SE,SE,,2212237141,741516,668269,1182469
NOFI NO Equity,,NO0010387004,BNH7Q17,8.962163,01/01/1900,NORWEGIAN FINANCE HOLDING AS,Common Stock,Financials,"OBX, OSEAX",Other,NO,NO,NOK OSLO,1673700690,367095,347645,567389
B4B GY Equity,,DE000BFB0019,BD6QT83,15.088135,NULL,METRO AG,Common Stock,Consumer Staples,"HDAX, PXAP, SXXP",Main,DE,DE,,5433565492,793591,1089212,1757184
HCC UN Equity,93627C101,US93627C1018,BF2X272,28,01/02/2019,WARRIOR MET COAL INC,Common Stock,Materials,RTY,Other,US,US,,1477180320,236629,224849,1132029
ADMIE GA Equity,,GRS518003009,BYW5KK0,1.830996,NULL,HOLDING CO ADMIE IPTO SA,Common Stock,Utilities,ASE,NULL,GR,GR,,424791135.5,124817,119176,133549
PLAIS GA Equity,,GRS320313000,5628924,4.356273,29/05/2019,PLAISIO COMPUTERS SA,Common Stock,Consumer Discretionary,ASE,NULL,GR,GR,,96167638.02,6239,5716,6496
NIR GA Equity,,GRS234003002,4631008,0.194897,01/01/1900,NIREUS AQUACULTURE SA,Common Stock,Consumer Staples,ASE,NULL,GR,GR,,57303249.97,76613,49553,88387
KYLO GA Equity,,GRS117123000,4343143,2.291581,09/07/2019,LOULIS MILLS S.A.,Common Stock,Consumer Staples,ASE,NULL,GR,GR,,39232516.2,1226,1381,1866
KLM GA Equity,,GRS474003001,7762938,0.655709,NULL,I KLOUKINAS-I LAPPAS SA,Common Stock,Consumer Discretionary,ASE,NULL,GR,GR,,26372141.1,12716,7536,10475
KARTZ GA Equity,,GRS399163005,4252205,7.147011,NULL,KARATZIS SA,Common Stock,Materials,ASE,NULL,GR,GR,,104916641.9,431,819,1523
ELSTR GA Equity,,GRS088003017,4508124,1.349991,07/07/2010,ELASTRON S.A.,Common Stock,Materials,ASE,NULL,GR,GR,,24854468,2550,2363,4761
BG AV Equity,,AT0000BAWAG2,BZ1GZ06,43.26778,NULL,BAWAG GROUP AG,Common Stock,Financials,"ATXPRIME, WBI, ATX",Other,AT,AT,,4326778059,61974,55616,134121
M RE Equity,,ROMEDLACNOR6,BYQQTH9,NULL,01/01/1900,MED LIFE SA,Common Stock,Health Care,BET,NULL,RO,RO,,NULL,8806,17365,12807
DIGI RE Equity,,NL0012294474,BD45RK0,NULL,NULL,DIGI COMMUNICATIONS NV,Common Stock,Telecommunication Services,BET,NULL,NL,RO,,NULL,16364,14286,14925
COTE RE Equity,,ROCOTEACNOR7,B23JW67,NULL,11/06/2019,CONPET SA PLOIESTI,Common Stock,Energy,BET,NULL,RO,RO,,NULL,25727,12413,9777
GRP ID Equity,,IE00BF2NR112,BF2NR11,1.179824,01/02/2019,GREENCOAT RENEWABLES PLC,Common Stock,,ISEQ,NULL,IE,IE,,448333164.4,198136,262149,252919
NANO NO Equity,,NO0010597883,BP26BK7,6.613089,01/01/1900,NORDIC NANOVECTOR ASA,Common Stock,Health Care,OSEAX,Other,NO,NO,,324851590.4,162905,146238,336777
BHVN UN Equity,G11196105,VGG111961055,BZ8FXC4,36.05,01/01/1900,BIOHAVEN PHARMACEUTICAL HOLD,Common Stock,Health Care,RTY,Other,VG,US,,1446611768,98343,79271,373970
ATNX UW Equity,04685N103,US04685N1037,BF04FC3,12.07,01/01/1900,ATHENEX INC,Common Stock,Health Care,RTY,Other,US,US,,800759623.8,114211,104696,301164
CLXT UQ Equity,13173L107,US13173L1070,BF42BH0,12.04,01/01/1900,CALYXT INC,Common Stock,Health Care,RTY,Other,US,US,,389450114.2,19285,18879,87423
CLPR UN Equity,18885T306,US18885T3068,BYPD5H3,13.44,17/11/2018,CLIPPER REALTY INC,REIT,Real Estate,RTY,Other,US,US,,239403427.2,10169,10039,41844
CADE UN Equity,12739A100,US12739A1007,BYWVH74,22.06,30/11/2018,CADENCE BANCORP,Common Stock,Financials,RTY,Other,US,US,,1844767500,484816,374910,1229246
FBM UN Equity,350392106,US3503921062,BYXR306,9.53,01/01/1900,FOUNDATION BUILDING MATERIAL,Common Stock,Industrials,RTY,Other,US,US,,408779648.5,33396,27916,102361
ELVT UN Equity,28621V101,US28621V1017,BDFYV82,4.26,01/01/1900,ELEVATE CREDIT INC,Common Stock,Financials,RTY,Other,US,US,,183994243.6,112840,83532,256218
DOVA UQ Equity,25985T102,US25985T1025,BD6NYF6,18.56,01/01/1900,DOVA PHARMACEUTICALS INC,Common Stock,Health Care,RTY,Other,US,US,,523434057,63863,62509,239295
GTHX UW Equity,3621LQ109,US3621LQ1099,BF0QXG9,40.01,01/01/1900,G1 THERAPEUTICS INC,Common Stock,Health Care,RTY,Other,US,US,,1461475878,179759,122972,309863
FMAO UR Equity,30779N105,US30779N1054,2120865,40.65,01/01/2019,FARMERS MERCHANTS BANCO/OH,Common Stock,Financials,RTY,Other,US,US,,377445859.7,5361,4017,9472
KREF UN Equity,48251K100,US48251K1007,BF0YMC2,20.08,27/12/2018,KKR REAL ESTATE FINANCE TRUS,REIT,Financials,RTY,Other,US,US,,1165280351,51291,65809,138937
KALA UW Equity,483119103,US4831191030,BF2F1K4,7.25,01/01/1900,KALA PHARMACEUTICALS INC,Common Stock,Health Care,RTY,Other,US,US,,240929636.5,152182,102168,242722
JILL UN Equity,46620W102,US46620W1027,BDZTVB0,5.05,01/01/1900,J. JILL INC,Common Stock,Consumer Discretionary,RTY,Other,US,US,,220926172.9,65578,92571,473947
HLNE UW Equity,407497106,US4074971064,BF0SR29,38.38,13/12/2018,HAMILTON LANE INC-CLASS A,Common Stock,Financials,RTY,Other,US,US,,992666499.2,70928,66834,177830
MRSN UW Equity,59045L106,US59045L1061,BF3NP05,6.25,01/01/1900,MERSANA THERAPEUTICS INC,Common Stock,Health Care,RTY,Other,US,US,,144708862.5,37425,39337,150649
PETQ UW Equity,71639T106,US71639T1060,BDH65C8,31.66,01/01/1900,PETIQ INC,Common Stock,Health Care,RTY,Other,US,US,,645958980,218233,225042,585506
OVID UW Equity,690469101,US6904691010,BYPFK63,5.13,01/01/1900,OVID THERAPEUTICS INC,Common Stock,Health Care,RTY,Other,US,US,,126362052.3,16601,15610,71678
SGH UW Equity,G8232Y101,KYG8232Y1017,BYPBTG4,28.01,01/01/1900,SMART Global Holdings Inc,Common Stock,Information Technology,RTY,Other,KY,US,,633181399.5,266704,200584,791408
